lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
0.5,0_5,1,20,16,12,4,75.0,2.69,-6.31,8.05,1.27,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1,25,16,7,9,43.75,-2.97,-12.0,2.36,1.32,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,0,16,16,0,100.0,23.53,13.66,29.21,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,2,16,16,0,100.0,21.26,11.38,26.88,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,4,16,16,0,100.0,19.0,9.11,24.55,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,6,16,16,0,100.0,16.73,6.83,22.23,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,8,16,16,0,100.0,14.46,4.55,19.91,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,10,16,16,0,100.0,12.2,2.28,17.59,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,12,16,15,1,93.75,9.93,-0.0,15.26,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,15,16,14,2,87.5,6.53,-3.42,11.78,1.25,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,20,16,9,7,56.25,0.87,-9.11,5.97,1.3,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,1.5,25,16,1,15,6.25,-4.8,-14.8,0.17,1.39,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,0,16,16,0,100.0,21.7,10.86,29.05,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,2,16,16,0,100.0,19.43,8.58,26.73,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,4,16,16,0,100.0,17.17,6.31,24.4,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,6,16,16,0,100.0,14.9,4.03,22.08,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,8,16,16,0,100.0,12.64,1.75,19.76,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,10,16,15,1,93.75,10.37,-0.52,17.44,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,12,16,14,2,87.5,8.1,-2.8,15.11,1.25,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,15,16,12,4,75.0,4.7,-6.22,11.63,1.27,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,20,16,7,9,43.75,-0.96,-11.91,5.82,1.32,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,2,25,16,1,15,6.25,-6.62,-17.6,0.02,1.39,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,0,16,16,0,100.0,26.78,20.2,33.81,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,2,16,16,0,100.0,24.52,17.92,31.53,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,4,16,16,0,100.0,22.25,15.65,29.26,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,6,16,16,0,100.0,19.99,13.37,26.98,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,8,16,16,0,100.0,17.72,11.09,24.7,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,10,16,16,0,100.0,15.46,8.82,22.43,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,12,16,16,0,100.0,13.19,6.54,20.15,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,15,16,16,0,100.0,9.79,3.12,16.92,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,20,16,13,3,81.25,4.12,-2.57,11.62,1.26,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0,25,16,4,12,25.0,-1.54,-8.26,6.33,1.35,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,0,16,16,0,100.0,24.9,17.39,31.3,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,2,16,16,0,100.0,22.64,15.12,29.02,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,4,16,16,0,100.0,20.37,12.84,26.74,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,6,16,16,0,100.0,18.11,10.56,24.46,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
