lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
3,3,1.5,0,16,16,0,100.0,11.55,4.36,17.84,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,2,16,16,0,100.0,9.29,2.08,15.56,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,4,16,15,1,93.75,7.02,-0.19,13.29,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,6,16,12,4,75.0,4.75,-2.47,11.01,0.8,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,8,16,10,6,62.5,2.49,-4.75,8.73,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,10,16,9,7,56.25,0.22,-7.02,6.46,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,12,16,6,10,37.5,-2.04,-9.3,4.18,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,15,16,3,13,18.75,-5.44,-12.72,0.76,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,20,16,0,16,0.0,-11.11,-18.41,-4.93,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1.5,25,16,0,16,0.0,-16.77,-24.1,-10.62,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,0,16,16,0,100.0,9.45,1.13,17.26,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,2,16,13,3,81.25,7.18,-1.06,14.92,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,4,16,11,5,68.75,4.91,-3.25,12.58,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,6,16,11,5,68.75,2.65,-5.43,10.24,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,8,16,9,7,56.25,0.38,-7.62,7.9,0.82,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,10,16,7,9,43.75,-1.88,-9.83,5.56,0.84,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,2,12,16,5,11,31.25,-4.15,-12.11,3.21,0.85,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
