sensitivity_case,counts_code,n1,n2,n3,n4,total_tasks,scenario_type,seed_count,method,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,mean_energy_2B_original,feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,opt_energy_2B,opt_cmax_2B,active_constraints_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,mean_energy_3B_original,feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,opt_energy_3B,opt_cmax_3B,active_constraints_3B,kkt_pass_3B,infeasible_reason_3B,energy_advantage_2B_minus_3B,recommended_mode,recommendation,recommendation_reason
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.1,3151.133333,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916261,0.968729,13947.992142,3013.58438,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610422,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.15,3294.366667,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916262,0.96873,13947.992142,3013.581798,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610381,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.2,3437.6,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916262,0.96873,13947.992142,3013.582295,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610332,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.25,3580.833333,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916262,0.96873,13947.992142,3013.582577,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610279,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.3,3724.066667,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916262,0.968729,13947.992142,3013.582718,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.61029,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.35,3867.3,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916261,0.96873,13947.992142,3013.583412,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610217,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.4,4010.533333,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916261,0.96873,13947.992142,3013.583321,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610248,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1122,1,1,2,2,6,dual_arm_dominant,3,optimized,1.5,4297.0,0.35,0.45,0.35,0.45,0.6,1.8,2864.666667,13975.666667,1,0.916261,0.96873,13947.992142,3013.583168,none,1,,2172.666667,14493.333333,1,0.916261,0.96873,14464.633729,2285.610202,none,1,,-516.641586,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1211,1,2,1,1,5,single_arm_dominant,3,optimized,0.7,1512.233333,0.35,0.45,0.35,0.45,0.6,1.8,2160.333333,8401.0,1,1.430848,1.425171,9477.224499,1512.233307,deadline,1,,1387.0,8807.666667,1,0.916261,0.968731,8781.282326,1480.964307,none,1,,695.942173,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1211,1,2,1,1,5,single_arm_dominant,3,optimized,0.75,1620.25,0.35,0.45,0.35,0.45,0.6,1.8,2160.333333,8401.0,1,1.332518,1.334558,9120.679808,1620.249962,deadline,1,,1387.0,8807.666667,1,0.916261,0.968731,8781.282326,1480.964468,none,1,,339.397482,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
