deadline_type,deadline_multiplier_of_2B_cmax,deadline_value,deadline_note,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,base_cmax_2arm,base_cmax_3arm,base_energy_2arm,base_energy_3arm,status_2arm,reason_2arm,required_speed_2arm,opt_speed_2arm,opt_cmax_2arm,opt_energy_2arm,status_3arm,reason_3arm,required_speed_3arm,opt_speed_3arm,opt_cmax_3arm,opt_energy_3arm,recommendation,recommendation_reason,energy_advantage_selected_vs_other_percent,solve_method,model,energy_model,rho_dynamic_energy,speed_min,speed_max,data_source
tight_deadline,0.8,1946.4,time requirement is tight,,mixed_balanced,6,2,1,1,2,2433.0,1644.33,11829.33,12374.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1946.4,16487.13,OPTIMAL,solved by interior point method and 0.618 search,0.8448,0.8448,1946.4,9894.1,recommend_3arm,"both feasible, 3arm has lower energy",39.99,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1703.1,time requirement is very urgent,,mixed_balanced,6,2,1,1,2,2433.0,1644.33,11829.33,12374.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9655,0.9655,1703.1,11786.52,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,4199.51,time requirement is loose,,mixed_balanced,6,1,2,2,1,2799.67,1842.0,11139.67,11610.33,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,4199.5,6807.58,OPTIMAL,solved by interior point method and 0.618 search,0.4386,0.6,3070.0,6408.9,recommend_3arm,"both feasible, 3arm has lower energy",5.86,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2799.67,time requirement equals original 2-arm Cmax,,mixed_balanced,6,1,2,2,1,2799.67,1842.0,11139.67,11610.33,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2799.67,11139.67,OPTIMAL,solved by interior point method and 0.618 search,0.6579,0.6579,2799.67,7001.2,recommend_3arm,"both feasible, 3arm has lower energy",37.15,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2239.74,time requirement is tight,,mixed_balanced,6,1,2,2,1,2799.67,1842.0,11139.67,11610.33,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2239.74,15525.92,OPTIMAL,solved by interior point method and 0.618 search,0.8224,0.8224,2239.74,8980.13,recommend_3arm,"both feasible, 3arm has lower energy",42.16,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1959.77,time requirement is very urgent,,mixed_balanced,6,1,2,2,1,2799.67,1842.0,11139.67,11610.33,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9399,0.9399,1959.77,10662.89,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3859.5,time requirement is loose,,mixed_balanced,6,2,1,2,1,2573.0,1746.0,10464.67,10947.67,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3859.5,6395.08,OPTIMAL,solved by interior point method and 0.618 search,0.4524,0.6,2910.0,6043.11,recommend_3arm,"both feasible, 3arm has lower energy",5.5,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2573.0,time requirement equals original 2-arm Cmax,,mixed_balanced,6,2,1,2,1,2573.0,1746.0,10464.67,10947.67,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2573.0,10464.67,OPTIMAL,solved by interior point method and 0.618 search,0.6786,0.6786,2573.0,6813.11,recommend_3arm,"both feasible, 3arm has lower energy",34.89,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2058.4,time requirement is tight,,mixed_balanced,6,2,1,2,1,2573.0,1746.0,10464.67,10947.67,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2058.4,14585.13,OPTIMAL,solved by interior point method and 0.618 search,0.8482,0.8482,2058.4,8798.07,recommend_3arm,"both feasible, 3arm has lower energy",39.68,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1801.1,time requirement is very urgent,,mixed_balanced,6,2,1,2,1,2573.0,1746.0,10464.67,10947.67,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9694,0.9694,1801.1,10485.96,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
