sensitivity_case,counts_code,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,opt_energy,opt_cmax,active_constraints,g_single_lower,g_single_upper,g_dual_lower,g_dual_upper,g_deadline,mu_single_lower,mu_single_upper,mu_dual_lower,mu_dual_upper,mu_deadline,stationarity_single_residual,stationarity_dual_residual,stationarity_norm,max_complementarity_error,primal_min,dual_min,kkt_pass,kkt_note
baseline,1112,1.35,3226.95,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916262,0.96873,12549.900147,1768.3211,none,0.3162621321,0.8837378679,0.368729523,0.831270477,1458.6288998034,0.0,0.0,0.0,0.0,0.0,0.0123958676,0.0024305217,0.0126319028,0.0,0.3162621321,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.4,3346.466667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,12049.354227,2524.012245,none,0.3162608736,0.8837391264,0.3687295611,0.8312704389,822.4544219323,0.0,0.0,0.0,0.0,0.0,0.0036036947,0.0027434693,0.0045291544,0.0,0.3162608736,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.4,3346.466667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916262,0.96873,12549.900147,1768.321122,none,0.3162621128,0.8837378872,0.3687295174,0.8312704826,1578.1455450228,0.0,0.0,0.0,0.0,0.0,0.0122635258,0.0023669752,0.0124898613,0.0,0.3162621128,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.5,3585.5,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.968729,12049.354227,2524.013145,none,0.3162605187,0.8837394813,0.3687292368,0.8312707632,1061.4868553132,0.0,0.0,0.0,0.0,0.0,0.0012632376,-0.0007465355,0.0014673392,0.0,0.3162605187,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,1.5,3585.5,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916262,0.968729,12549.900147,1768.321192,none,0.3162620608,0.8837379392,0.3687294904,0.8312705096,1817.17880809,0.0,0.0,0.0,0.0,0.0,0.0119067477,0.0020653817,0.0120845538,0.0,0.3162620608,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1121,0.7,1638.7,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.432113,1.42622,11087.00087,1638.699977,deadline,0.8321134659,0.3678865341,0.8262198218,0.3737801782,2.32126e-05,0.0,0.0,0.0,0.0,4.1468083883,0.5191181847,-0.3432361823,0.6223301105,9.62583e-05,2.32126e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1121,0.7,1638.7,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.980184,1.022016,10282.888492,1638.699798,deadline,0.3801839383,0.8198160617,0.4220156648,0.7779843352,0.0002015504,0.0,0.0,0.0,0.0,0.4898102291,0.1830743343,-0.1326893742,0.226103255,9.87215e-05,0.0002015504,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1121,0.75,1755.75,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.332174,1.334107,10668.701465,1755.749965,deadline,0.7321744986,0.4678255014,0.7341070546,0.4658929454,3.4739e-05,0.0,0.0,0.0,0.0,3.0506712374,0.5086217913,-0.3400657029,0.6118339716,0.0001059772,3.4739e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1121,0.75,1755.75,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,10259.362109,1738.755574,none,0.3162612323,0.8837387677,0.3687298591,0.8312701409,16.9944259721,0.0,0.0,0.0,0.0,0.0,0.0050819478,0.005065969,0.0071756697,0.0,0.3162612323,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1121,0.8,1872.8,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.244273,1.253848,10362.799501,1872.799958,deadline,0.6442728774,0.5557271226,0.6538475083,0.5461524917,4.16836e-05,0.0,0.0,0.0,0.0,2.2118134141,1.3273468182,-0.8985687846,1.6028959531,9.21964e-05,4.16836e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
