counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,max_cmax_2B_original,mean_energy_2B_original,max_energy_2B_original,robust_feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,worst_energy_z_2B,mean_energy_after_speed_2B,max_cmax_after_speed_2B,worst_energy_seed_2B,binding_time_seed_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,max_cmax_3B_original,mean_energy_3B_original,max_energy_3B_original,robust_feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,worst_energy_z_3B,mean_energy_after_speed_3B,max_cmax_after_speed_3B,worst_energy_seed_3B,binding_time_seed_3B,kkt_pass_3B,infeasible_reason_3B,worst_energy_gap_2B_minus_3B,worst_energy_gap_percent_vs_2B,recommended_mode,recommendation,recommendation_reason
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,0.7,1638.7,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.534388,1.549293,12157.803921,11681.934778,1638.7,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,1.030637,1.076279,10744.841214,10342.823345,1638.7,0,1,0,,1412.962707,11.6219,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,0.75,1755.75,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.427291,1.449291,11599.219082,11145.213533,1755.75,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.957745,1.007591,10670.011883,10270.793751,1755.749572,0,1,0,,929.207199,8.0109,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,0.8,1872.8,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.334174,1.361412,11177.043326,10739.562177,1872.8,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,518.907425,4.6426,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,0.85,1989.85,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.251635,1.284161,10860.256443,10435.174663,1989.85,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,202.120541,1.8611,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,0.9,2106.9,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.178589,1.215295,10625.969083,10210.057556,2106.9,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,-32.166818,-0.3027,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,0.95,2223.95,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.113278,1.153669,10457.290336,10047.981071,2223.95,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,-200.845565,-1.9206,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,1.0,2341.0,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.054304,1.098368,10341.42756,9936.653284,2341.0,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,-316.708342,-3.0625,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,1.05,2458.05,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,1.001061,1.048274,10268.507284,9866.587184,2458.05,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,-389.628618,-3.7944,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,1.1,2575.1,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,0.952809,1.002645,10230.884351,9830.436852,2575.1,0,0,0,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,-427.25155,-4.1761,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1121,1,1,2,1,5,dual_arm_dominant,optimized,3,mean_2b,2341.0,1.15,2692.15,0.35,0.45,0.35,0.45,0.6,1.8,2341.0,2529.0,9844.0,10245.0,1,0.91626,0.968729,10222.11218,9822.008033,2670.434888,0,0,1,,1646.666667,1733.0,10282.333333,10682.0,1,0.91626,0.968729,10658.135901,10259.362109,1829.918411,0,1,1,,-436.023721,-4.2655,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
