counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,seeds_used,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,worst_energy_z,max_cmax_after_speed,worst_energy_seed,binding_time_seed,primal_min,dual_min,stationarity_s_single,stationarity_s_dual,stationarity_z,stationarity_norm,max_complementarity_error,active_constraints,active_time_seeds,active_energy_seeds,selected_multipliers,kkt_pass,kkt_note
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.75,1792.75,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.391383,1.415345,13659.689589,1792.75,1,1,-7.03e-08,0.0,-0.0050783571,0.0035031881,0.9999619365,0.9999809681,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:3.80635e-05;time_seed_1:0.000171702,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.75,1792.75,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.917831,0.969775,12737.494955,1792.666878,1,1,0.0,0.0,0.3534284006,-0.2630431287,0.7364247831,0.8581519581,0.0002602743,time_seed_1+energy_seed_1+time_seed_2,"1,2",1,energy_seed_1:0.263575;time_seed_1:0.00313123,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.8,1912.266667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.300344,1.329713,13195.884627,1912.266667,1,1,-6.59e-08,0.0,-0.0054472301,0.0037973774,0.9999559057,0.9999779526,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:4.40943e-05;time_seed_1:0.000148499,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.8,1912.266667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.85,2031.783333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.220061,1.254153,12851.942228,2031.783333,1,1,-7.52e-08,0.0,-0.006062049,0.0042703765,0.9999450124,0.9999725058,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:5.49876e-05;time_seed_1:0.000136224,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.85,2031.783333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.9,2151.3,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.14871,1.187005,12601.946978,2151.3,1,1,-2.31e-08,0.0,-0.0070518174,0.0050198935,0.9999250669,0.9999625328,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:7.49331e-05;time_seed_1:0.000132909,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.9,2151.3,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.95,2270.816667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.084936,1.126903,12426.607891,2270.816667,1,1,-5.03e-08,0.0,-0.0087972436,0.0063273286,0.9998825596,0.9999412781,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:0.00011744;time_seed_1:0.000142131,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,0.95,2270.816667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
